, allowedP, trueP, n, [sentinel], time
1,4,4,16,5.08428,0.00179016
1,4,4,19,4.44305,0.000158232
1,4,4,22,3.74936,0.000181325
1,4,4,26,6.00059,0.000209978
1,4,4,32,5.12512,0.000270277
1,4,4,38,12.0709,0.000369921
1,4,4,45,6.4673,0.000485387
1,4,4,53,10.349,0.000601709
1,4,4,64,8.48267,0.000830932
1,4,4,76,0.770689,0.00115638
1,4,4,90,8.68704,0.00146557
1,4,4,107,6.6972,0.00200313
1,4,4,128,6.99139,0.00287341
1,4,4,152,15.2411,0.00380355
1,4,4,181,4.25256,0.00519471
1,4,4,215,6.5401,0.00723334
1,4,4,256,7.77228,0.00977959
1,4,4,304,7.41879,0.0136922
1,4,4,362,17.4657,0.0204393
1,4,4,430,18.7009,0.0276085
1,4,4,512,6.38456,0.0374167
1,4,4,608,21.7851,0.0510037
1,4,4,724,8.56682,0.0711548
1,4,4,861,10.009,0.100556
1,4,4,1024,15.0743,0.13951
1,4,4,1217,30.1267,0.199117
1,4,4,1448,32.4621,0.27755
1,4,4,1722,26.774,0.420209
1,4,4,2048,50.2559,0.551812
1,4,4,2435,37.1636,0.77668
1,4,4,2896,19.2577,1.09476
10,4,4,16,5.08428,0.00156008
10,4,4,19,4.44305,0.000101354
10,4,4,22,3.74936,0.000133856
10,4,4,26,6.00059,0.000145402
10,4,4,32,5.12512,0.000195438
10,4,4,38,12.0709,0.000243335
10,4,4,45,6.4673,0.000319885
10,4,4,53,10.349,0.000393442
10,4,4,64,8.48267,0.000508908
10,4,4,76,0.770689,0.000658159
10,4,4,90,8.68704,0.000923305
10,4,4,107,6.6972,0.00114055
10,4,4,128,6.99139,0.00151817
10,4,4,152,15.2411,0.0020057
10,4,4,181,4.25256,0.00287127
10,4,4,215,6.5401,0.0042141
10,4,4,256,7.77228,0.00504503
10,4,4,304,7.41879,0.00656363
10,4,4,362,17.4657,0.00973212
10,4,4,430,18.7009,0.0135147
10,4,4,512,6.38456,0.01891
10,4,4,608,21.7851,0.0236728
10,4,4,724,8.56682,0.0349363
10,4,4,861,10.009,0.047426
10,4,4,1024,15.0743,0.0637217
10,4,4,1217,30.1267,0.0857562
10,4,4,1448,32.4621,0.13292
10,4,4,1722,26.774,0.181729
10,4,4,2048,50.2559,0.246251
10,4,4,2435,37.1636,0.37338
10,4,4,2896,19.2577,0.515353
10,4,4,3444,28.0925,0.700184
10,4,4,4096,41.5433,0.964765
10,4,4,4870,100.905,1.30019
100,4,4,16,5.08428,4.96E-05
100,4,4,19,4.44305,5.26E-05
100,4,4,22,3.74936,6.80E-05
100,4,4,26,6.00059,9.15E-05
100,4,4,32,5.12512,0.000137705
100,4,4,38,12.0709,0.000192444
100,4,4,45,6.4673,0.000265573
100,4,4,53,10.349,0.000366072
100,4,4,64,8.48267,0.000534995
100,4,4,76,0.770689,0.000763362
100,4,4,90,8.68704,0.00105502
100,4,4,107,6.6972,0.00319458
100,4,4,128,6.99139,0.00206771
100,4,4,152,15.2411,0.00290805
100,4,4,181,4.25256,0.00389379
100,4,4,215,6.5401,0.00356321
100,4,4,256,7.77228,0.00468238
100,4,4,304,7.41879,0.00705073
100,4,4,362,17.4657,0.0276187
100,4,4,430,18.7009,0.0200382
100,4,4,512,6.38456,0.0308249
100,4,4,608,21.7851,0.0397312
100,4,4,724,8.56682,0.0464398
100,4,4,861,10.009,0.041834
100,4,4,1024,15.0743,0.0562788
100,4,4,1217,30.1267,0.0825347
100,4,4,1448,32.4621,0.145803
100,4,4,1722,26.774,0.212283
100,4,4,2048,50.2559,0.246948
100,4,4,2435,37.1636,0.394623
100,4,4,2896,19.2577,0.453021
100,4,4,3444,28.0925,0.618408
100,4,4,4096,41.5433,0.89885
100,4,4,4870,100.905,1.20024
11,4,4,16,5.08428,0.00166272
11,4,4,19,4.44305,9.41E-05
11,4,4,22,3.74936,0.000117177
11,4,4,26,6.00059,0.000139843
11,4,4,32,5.12512,0.000182181
11,4,4,38,12.0709,0.000250605
11,4,4,45,6.4673,0.00031347
11,4,4,53,10.349,0.000394725
11,4,4,64,8.48267,0.000512329
11,4,4,76,0.770689,0.000651317
11,4,4,90,8.68704,0.00090235
11,4,4,107,6.6972,0.00115296
11,4,4,128,6.99139,0.00151218
11,4,4,152,15.2411,0.00199843
11,4,4,181,4.25256,0.00267455
11,4,4,215,6.5401,0.0039682
11,4,4,256,7.77228,0.00501553
11,4,4,304,7.41879,0.00658587
11,4,4,362,17.4657,0.00992072
11,4,4,430,18.7009,0.014231
11,4,4,512,6.38456,0.0177352
11,4,4,608,21.7851,0.0239054
11,4,4,724,8.56682,0.032482
11,4,4,861,10.009,0.0475928
11,4,4,1024,15.0743,0.0635224
11,4,4,1217,30.1267,0.0873043
11,4,4,1448,32.4621,0.122631
11,4,4,1722,26.774,0.182025
11,4,4,2048,50.2559,0.244617
11,4,4,2435,37.1636,0.374553
11,4,4,2896,19.2577,0.478933
11,4,4,3444,28.0925,0.699389
11,4,4,4096,41.5433,0.979041
11,4,4,4870,100.905,1.3379
12,4,4,16,5.08428,0.00136507
12,4,4,19,4.44305,0.000102637
12,4,4,22,3.74936,0.000120171
12,4,4,26,6.00059,0.000152245
12,4,4,32,5.12512,0.000189023
12,4,4,38,12.0709,0.00024248
12,4,4,45,6.4673,0.000302351
12,4,4,53,10.349,0.000387455
12,4,4,64,8.48267,0.000510191
12,4,4,76,0.770689,0.000662436
12,4,4,90,8.68704,0.000851459
12,4,4,107,6.6972,0.00114013
12,4,4,128,6.99139,0.00153613
12,4,4,152,15.2411,0.00196421
12,4,4,181,4.25256,0.00270149
12,4,4,215,6.5401,0.00384247
12,4,4,256,7.77228,0.00501852
12,4,4,304,7.41879,0.00675437
12,4,4,362,17.4657,0.00876349
12,4,4,430,18.7009,0.0145283
12,4,4,512,6.38456,0.0196879
12,4,4,608,21.7851,0.0242176
12,4,4,724,8.56682,0.0311298
12,4,4,861,10.009,0.0472322
12,4,4,1024,15.0743,0.066277
12,4,4,1217,30.1267,0.0862317
12,4,4,1448,32.4621,0.119577
12,4,4,1722,26.774,0.181024
12,4,4,2048,50.2559,0.24355
12,4,4,2435,37.1636,0.375603
12,4,4,2896,19.2577,0.454348
12,4,4,3444,28.0925,0.701892
12,4,4,4096,41.5433,0.960159
12,4,4,4870,100.905,1.31265
13,4,4,16,5.08428,0.00152844
13,4,4,19,4.44305,0.00011675
13,4,4,22,3.74936,0.000128296
13,4,4,26,6.00059,0.000146258
13,4,4,32,5.12512,0.00020057
13,4,4,38,12.0709,0.000257875
13,4,4,45,6.4673,0.000307911
13,4,4,53,10.349,0.00038104
13,4,4,64,8.48267,0.00050121
13,4,4,76,0.770689,0.000652172
13,4,4,90,8.68704,0.000838202
13,4,4,107,6.6972,0.00115039
13,4,4,128,6.99139,0.00151646
13,4,4,152,15.2411,0.00198688
13,4,4,181,4.25256,0.00265145
13,4,4,215,6.5401,0.00377747
13,4,4,256,7.77228,0.00495608
13,4,4,304,7.41879,0.00655465
13,4,4,362,17.4657,0.00895764
13,4,4,430,18.7009,0.012331
13,4,4,512,6.38456,0.0185995
13,4,4,608,21.7851,0.0246273
13,4,4,724,8.56682,0.0314309
